Hebrew,English
גאליה,Ge'alya
אבן יהודה,Even Yehuda
אודים,Odim
אור יהודה,Or Yehuda
אורנית,Oranit
אזור,Azor
אזור תעשייה אפק ולב הארץ,Afek Industrial Zone
אזור תעשייה הר טוב - צרעה,Har Tov Industrial Zone
אזור תעשייה חבל מודיעין,Modiin District Industrial Zone
אזור תעשייה נשר - רמלה,Nesher Industrial Zone
אזור תעשייה רגמ,RGM Industrial Area (Afula)
אחיסמך,Ahisamakh
אחיעזר,Ahiezer
אייל,Eyal
איירפורט סיטי,Airport City
אירוס,Iris
אלישמע,Elishema
אלעד,Elad
אלפי מנשה,Alfei Menashe
אלקנה,Elkanah
ארסוף,Arsuf
אשתאול,Eshtaol
באר יעקב,Beer Yaakov
בארות יצחק,Be'erot Yitzhak
בית אריה,Beit Aryeh-Ofarim
בית ברל,Beit Berl
בית דגן,Beit Dagan
בית חנן,Beit Hanan
בית חשמונאי,Beit Hashmonai
בית יהושע,Beit Yehoshua
בית מאיר,Beit Meir
בית נחמיה,Beit Nehemia
בית סוהר השרון,Hasharon Prison
בית עובד,Beit Oved
בית עוזיאל,Beit Uziel
בית עלמין מורשה,Morasha Cemetery
בית עריף,Beit Arif
בן שמן,Ben Shemen Youth Village
בני ברק,Bnei Brak
בני דרור,Bnei Dror
בני עטרות,Bnei Atarot
בני ציון,Bnei Zion
בצרה,Batzra
בקוע,Beko'a
ברקת,Barkat
בת ים,Bat Yam
ג'לג'וליה,Jaljulia
גבעת ברנר,Givat Brenner
גבעת השלושה,Givat Hashlosha
גבעת חן,Givat Chen
גבעת כ''ח,Giv'at Ko'ah
גבעת שמואל,Givat Shmuel
גבעתיים,Givatayim
גזר,Gezer
גיבתון,Givaton
גיזו,Gizo
גינתון,Ginaton
גמזו,Gimzo
גן חיים,Gan Haim
גן שורק,Gan Sorek
גן שלמה,Kvutzat Shiller (Gan Shlomo)
גנות,Ganot
גני הדר,Ganei Hadar
גני יוחנן,Ganei Yohanan
גני עם,Ganei Am
גני תקווה,Ganei Tikva
געש,Ga'ash
גת רימון,Gat Rimon
הוד השרון,Hod Hasharon
הראל,Harel
הרצליה - מערב,Herzliya (West)
הרצליה - מרכז וגליל ים,Herzliya (Center And Sea)
זיתן,Zeitan
חגור,Hagor
חדיד,Hadid
חולדה,Hulda
חולון,Holon
חורשים,Horshim
חמד,Hemed
חניון הנתיב מהיר,Fast Lane Parking Lot
חרוצים,Harutzim
חרות,Herut
חשמונאים,Hashmonaim
טירה,Tira
טירת יהודה,Tirat Yehuda
טל שחר,Tal Shahar
יגל,Yagel
יד השמונה,Yad HaShmona
